0.00: 0.05
0.01: 0.05
0.02: 0.05
0.03: 0.05
0.04: 0.05
0.05: 0.05
0.06: 0.05
0.07: 0.05
0.08: 0.05
0.09: 0.05
0.10: 0.05
0.11: 0.05
0.12: 0.05
0.13: 0.05
0.14: 0.05
0.15: 0.05
1.00: 0.05
1.01: 0.05
1.02: 0.05
1.03: 0.05
1.04: 0.05
1.05: 0.05
1.06: 0.05
1.07: 0.05
1.08: 0.05
1.09: 0.05
1.10: 0.05
1.11: 0.05
1.12: 0.05
1.13: 0.05
1.14: 0.05
1.15: 0.05
2.00: 0.05
2.01: 0.05
2.02: 0.05
2.03: 0.05
2.04: 0.05
2.05: 0.05
2.06: 0.05
2.07: 0.05
2.08: 0.05
2.09: 0.05
2.10: 0.05
2.11: 0.05
2.12: 0.05
2.13: 0.05
2.14: 0.05
2.15: 0.05
3.00: 0.05
3.01: 0.05
3.02: 0.05
3.03: 0.05
3.04: 0.05
3.05: 0.05
3.06: 0.05
3.07: 0.05
3.08: 0.05
3.09: 0.05
3.10: 0.05
3.11: 0.05
3.12: 0.05
3.13: 0.05
3.14: 0.05
3.15: 0.05
4.00: 0.05
4.01: 0.05
4.02: 0.05
4.03: 0.05
4.04: 0.05
4.05: 0.05
4.06: 0.05
4.07: 0.05
4.08: 0.05
4.09: 0.05
4.10: 0.05
4.11: 0.05
4.12: 0.05
4.13: 0.05
4.14: 0.05
4.15: 0.05
5.00: 0.05
5.01: 0.05
5.02: 0.05
5.03: 0.05
5.04: 0.05
5.05: 0.05
5.06: 0.05
5.07: 0.05
5.08: 0.05
5.09: 0.05
5.10: 0.05
5.11: 0.05
5.12: 0.05
5.13: 0.05
5.14: 0.05
5.15: 0.05
